하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,All
39,동대문경찰서,6283.0,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,1.0,2.0,,1.0,4.0,2.0,2.0,9.0,6.0,1.0,5.0,3.0,,1.0,21.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
40,정화여자중.상업고등학교,6780.0,,,,,,,,,,,1.0,1.0,,,,,,3.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,5.0,3.0,3.0,8.0,11.0,10.0,7.0,9.0,1.0,3.0,88.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
41,제기동한신아파트앞,6172.0,,,,,,,1.0,,1.0,,1.0,9.0,2.0,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,3.0,3.0,6.0,9.0,5.0,9.0,14.0,13.0,6.0,2.0,3.0,19.0,3.0,11.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
42,고려대역.고대앞삼거리,6173.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,2.0,3.0,6.0,6.0,2.0,10.0,3.0,,2.0,22.0,3.0,3.0,11.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
43,국방연구원,6277.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,2.0,1.0,1.0,,5.0,3.0,,4.0,1.0,2.0,22.0,12.0,5.0,,5.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
44,한국과학기술원.홍릉초등학교,6275.0,,,2.0,,,,1.0,,1.0,,,1.0,2.0,2.0,,,,,,,2.0,2.0,,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,15.0,13.0,2.0,2.0,12.0,51.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140
45,서울바이오허브.농촌경제연구원,6272.0,,1.0,,,,1.0,,,2.0,,,,5.0,2.0,,3.0,1.0,,1.0,1.0,4.0,7.0,2.0,9.0,6.0,4.0,5.0,4.0,5.0,5.0,11.0,10.0,3.0,5.0,2.0,2.0,28.0,8.0,3.0,3.0,23.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224
46,경희대입구,6270.0,,1.0,,,,,,,5.0,1.0,,,1.0,3.0,,4.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,9.0,10.0,2.0,11.0,13.0,7.0,4.0,8.0,9.0,7.0,1.0,,6.0,13.0,3.0,10.0,8.0,36.0,40.0,23.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
47,회기동현대아파트,6320.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,1.0,2.0,1.0,13.0,7.0,14.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
48,시조사,6115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,6.0,3.0,9.0,,7.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
49,동대문노인종합복지관,6999.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,11.0,17.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
50,청랑리한신아파트.청량사입구,6297.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,,,,,,2.0,,2.0,17.0,8.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
51,영휘원사거리.(구)홍릉사거리,6280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,1.0,,5.0,4.0,7.0,3.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
52,동대문경찰서,6282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,8.0,3.0,,3.0,28.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
53,현대코아,6285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,5.0,11.0,,,4.0,61.0,43.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
54,청량리역환승센터,6019.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,11.0,16.0,2.0,,2.0,51.0,42.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148
55,서울성심병원,6114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,2.0,,10.0,27.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
56,떡전교앞,6187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,11.0,1.0,,1.0,,,2.0,9.0,87.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
57,서울시립대학교앞,6189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,6.0,21.0,2.0,,1.0,1.0,3.0,2.0,5.0,88.0,14.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
58,전농로터리시장.동부교육지원청,6191.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,4.0,15.0,2.0,,,1.0,8.0,2.0,6.0,71.0,9.0,12.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
59,전농우체국앞,6192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,3.0,12.0,4.0,,1.0,1.0,6.0,1.0,2.0,45.0,4.0,14.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
60,청솔우성아파트.답십리시장,6195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,17.0,5.0,1.0,,2.0,5.0,2.0,4.0,42.0,4.0,15.0,5.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
