하차_정류장순번,하차_정류장명,하차_정류장ARS,1,4,5,6,7,8,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,54,55,57,58,60,63,64,66,67,68,69,70,72,73,74,75,76,78,79,82,83,85,86,88,89,93,95,96,97,100,102,104,105,111,112,115,124,133,All
63,아가방빌딩.하나은행,23280.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
64,역삼역4번출구,23283.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
65,강남역12번출구,23284.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,,3.0,,,,1.0,,,,,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
66,강남역.강남역사거리,22167.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
67,진흥아파트,22166.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
68,서초푸르지오써밋.롯데캐슬클래식,22164.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
69,신논현역.구교보타워사거리,22172.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
70,강남역1번출구.역삼세무서,23287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
72,대한사회복지회,23305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
73,한국자산신탁.센터필드,23306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
