하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,All
118,상계주공7단지,11183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,4.0,,,1.0,1.0,1.0,4.0,4.0,1.0,5.0,4.0,,2.0,3.0,7.0,6.0,3.0,6.0,10.0,8.0,3.0,8.0,6.0,,,,,,,,,,,,,,,,,93
119,상계주공9단지,11180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,2.0,,,,,,1.0,,1.0,3.0,,1.0,,1.0,1.0,1.0,,3.0,3.0,,2.0,5.0,4.0,2.0,2.0,3.0,8.0,3.0,21.0,13.0,21.0,21.0,3.0,,,,,,,,,,,,,,,,129
120,상계주공12단지,11273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,2.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,2.0,2.0,2.0,2.0,,1.0,,4.0,2.0,6.0,4.0,6.0,7.0,3.0,7.0,12.0,21.0,11.0,17.0,24.0,42.0,38.0,13.0,5.0,14.0,,,,,,,,,,,,,,256
121,상계주공14단지,11272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,8.0,4.0,2.0,7.0,12.0,5.0,14.0,9.0,12.0,14.0,24.0,32.0,3.0,6.0,20.0,,,,,,,,,,,,,,187
122,노원초등학교,11199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,,,1.0,,3.0,1.0,,1.0,1.0,1.0,,2.0,,,3.0,,2.0,1.0,3.0,2.0,2.0,3.0,1.0,,2.0,2.0,2.0,9.0,6.0,5.0,14.0,17.0,5.0,14.0,19.0,35.0,33.0,8.0,6.0,23.0,6.0,6.0,,,,,,,,,,,,244
123,수락산역3번출구,11196.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,2.0,2.0,,,5.0,4.0,2.0,1.0,4.0,6.0,7.0,7.0,16.0,8.0,8.0,19.0,36.0,52.0,2.0,11.0,13.0,10.0,28.0,2.0,,,,,,,,,,,258
124,두산아파트.도심공항수락터미널,11194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,4.0,4.0,1.0,4.0,5.0,2.0,4.0,8.0,15.0,,3.0,9.0,1.0,7.0,12.0,1.0,,,,,,,,,,95
125,성대야구장노원교앞,10160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,,2.0,,2.0,,,1.0,1.0,,,,,,,,,1.0,4.0,3.0,4.0,1.0,1.0,,1.0,1.0,5.0,5.0,7.0,4.0,5.0,4.0,1.0,2.0,3.0,27.0,19.0,2.0,4.0,11.0,6.0,3.0,88.0,12.0,1.0,,,,,,,,,235
126,서울북부지방법원.검찰청.성우아파트,10130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,1.0,,,,,2.0,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,4.0,5.0,4.0,5.0,2.0,9.0,7.0,17.0,26.0,1.0,5.0,11.0,5.0,13.0,106.0,19.0,,,,,,,,,,254
127,법조타운공영주차장,10132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,2.0,3.0,7.0,,2.0,3.0,5.0,5.0,6.0,2.0,11.0,3.0,13.0,12.0,4.0,2.0,13.0,2.0,7.0,62.0,19.0,,2.0,1.0,,,,,,,198
128,도봉구청,10134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,3.0,,2.0,1.0,1.0,4.0,3.0,4.0,6.0,1.0,3.0,5.0,7.0,14.0,7.0,9.0,10.0,2.0,2.0,19.0,5.0,12.0,80.0,45.0,2.0,5.0,4.0,1.0,,,,,,263
129,방학1동대상타운현대삼성아파트,10136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,8.0,4.0,9.0,12.0,1.0,1.0,6.0,4.0,6.0,38.0,8.0,2.0,,,3.0,,,,,,123
130,서울문화고등학교,10198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,,,,1.0,2.0,,,6.0,4.0,6.0,11.0,11.0,7.0,2.0,2.0,5.0,2.0,2.0,,,,70
131,노원고등학교,11181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,2.0,6.0,11.0,16.0,8.0,,,,50
132,임광아파트상가,11182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,7.0,13.0,28.0,,,,53
133,상계주공7단지,11187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,4.0,,8.0,4.0,4.0,2.0,,,25
134,상계주공7단지.광림교회앞,11188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,15.0,15.0,12.0,5.0,1.0,2.0,60
135,7단지영업소,11504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,1.0,2.0,3.0,5.0,6.0,3.0,2.0,8.0,1.0,1.0,2.0,4.0,5.0,3.0,4.0,3.0,,1.0,2.0,1.0,3.0,6.0,5.0,4.0,9.0,2.0,21.0,12.0,12.0,2.0,3.0,,149
All,,,61.0,75.0,87.0,34.0,78.0,222.0,313.0,185.0,208.0,211.0,102.0,78.0,235.0,300.0,225.0,232.0,118.0,173.0,248.0,479.0,225.0,205.0,210.0,309.0,198.0,320.0,237.0,173.0,203.0,218.0,245.0,192.0,323.0,195.0,423.0,385.0,306.0,152.0,130.0,170.0,128.0,54.0,221.0,173.0,108.0,77.0,111.0,204.0,181.0,352.0,103.0,52.0,133.0,377.0,240.0,145.0,94.0,69.0,209.0,429.0,239.0,215.0,142.0,101.0,36.0,84.0,34.0,181.0,1002.0,559.0,262.0,166.0,219.0,662.0,210.0,244.0,318.0,400.0,789.0,39.0,85.0,141.0,312.0,207.0,336.0,405.0,146.0,119.0,129.0,131.0,76.0,261.0,169.0,68.0,220.0,198.0,193.0,179.0,307.0,190.0,223.0,114.0,163.0,172.0,185.0,320.0,301.0,234.0,292.0,151.0,157.0,243.0,139.0,167.0,146.0,270.0,286.0,39.0,46.0,147.0,44.0,95.0,407.0,120.0,23.0,29.0,20.0,71.0,62.0,66.0,9.0,4.0,2.0,26464
