하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,All
29,공릉시장,11102.0,,,,,,2.0,4.0,,3.0,3.0,2.0,,6.0,6.0,4.0,7.0,7.0,10.0,13.0,33.0,12.0,9.0,20.0,33.0,22.0,29.0,32.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274
30,태릉입구역3번출구,11104.0,,,,,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,9.0,3.0,4.0,8.0,7.0,15.0,17.0,14.0,8.0,25.0,9.0,17.0,28.0,15.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
31,극동늘푸른아파트,7101.0,,,,,,1.0,4.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,3.0,6.0,9.0,21.0,8.0,12.0,9.0,21.0,11.0,21.0,13.0,13.0,18.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
32,묵동삼거리.먹골역,7103.0,,,,,,,2.0,,1.0,2.0,,1.0,,2.0,3.0,1.0,5.0,7.0,4.0,10.0,8.0,3.0,3.0,12.0,5.0,7.0,11.0,7.0,7.0,5.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
33,먹골역,7425.0,,,,,,1.0,,1.0,,,3.0,,1.0,2.0,2.0,1.0,1.0,3.0,3.0,10.0,5.0,9.0,5.0,10.0,5.0,9.0,6.0,9.0,16.0,9.0,11.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
34,한국전력동대문중랑지사,7105.0,,,,,1.0,,1.0,2.0,,3.0,,,2.0,5.0,1.0,,2.0,2.0,7.0,10.0,1.0,4.0,2.0,8.0,7.0,9.0,9.0,5.0,14.0,10.0,16.0,15.0,21.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
35,지하철7호선중화역,7107.0,,,,,3.0,1.0,,1.0,3.0,2.0,,,2.0,3.0,1.0,3.0,4.0,7.0,9.0,13.0,8.0,6.0,10.0,11.0,10.0,11.0,15.0,9.0,25.0,18.0,22.0,32.0,31.0,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289
36,국민은행중화동지점,7109.0,,,,,,1.0,2.0,,1.0,1.0,,2.0,5.0,1.0,,,3.0,4.0,6.0,10.0,5.0,4.0,7.0,6.0,5.0,12.0,8.0,6.0,12.0,15.0,14.0,15.0,19.0,11.0,34.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233
37,상봉2동복합청사.도서관,7111.0,,,,,1.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,18.0,17.0,8.0,8.0,10.0,8.0,11.0,19.0,14.0,13.0,18.0,21.0,27.0,24.0,27.0,25.0,91.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
38,면목2동주민센터,7113.0,,,,,,,1.0,,,1.0,,,2.0,1.0,2.0,3.0,1.0,2.0,3.0,7.0,2.0,1.0,8.0,6.0,3.0,10.0,3.0,8.0,4.0,11.0,14.0,14.0,16.0,18.0,20.0,29.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192
