하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,All
40,둔촌동역4번출구,25246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,2.0,3.0,1.0,3.0,13.0,29.0,17.0,34.0,10.0,5.0,,,,,,,,,,,,,,,127
41,서울성내동우체국,25248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,1.0,,8.0,17.0,12.0,20.0,5.0,21.0,1.0,,,,,,,,,,,,,,91
42,보성중고등학교,24243.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,3.0,2.0,9.0,3.0,9.0,34.0,1.0,,,,,,,,,,,,,66
43,올림픽공원역,24244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,2.0,2.0,1.0,,3.0,16.0,5.0,17.0,30.0,18.0,66.0,2.0,2.0,,,,,,,,,,,,173
44,오금동대림아파트,24265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,4.0,3.0,,1.0,8.0,18.0,7.0,33.0,23.0,18.0,23.0,15.0,49.0,3.0,,,,,,,,,,,212
45,오금공원사거리,24262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,2.0,5.0,11.0,13.0,12.0,8.0,10.0,5.0,3.0,35.0,11.0,1.0,,,,,,,,,,122
46,신흥운수입구,24258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,2.0,2.0,1.0,17.0,8.0,16.0,8.0,11.0,2.0,3.0,70.0,18.0,4.0,,,,,,,,,,167
47,송파참병원,24256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,3.0,1.0,2.0,7.0,6.0,2.0,7.0,5.0,6.0,1.0,34.0,26.0,7.0,5.0,,,,,,,,,118
48,거여초등학교,24255.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,3.0,1.0,9.0,15.0,7.0,5.0,1.0,9.0,2.0,5.0,41.0,34.0,17.0,11.0,3.0,3.0,,,,,,,170
49,마천2동윤진빌딩.신동아아파트,24301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,1.0,4.0,6.0,12.0,7.0,16.0,3.0,6.0,5.0,7.0,44.0,29.0,20.0,21.0,5.0,4.0,,,,,,,196
50,마천동사거리,24300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,3.0,5.0,,15.0,5.0,23.0,6.0,12.0,9.0,7.0,36.0,43.0,25.0,25.0,9.0,29.0,11.0,2.0,,,,,277
51,청암노인요양원,24297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,4.0,1.0,4.0,2.0,1.0,15.0,18.0,8.0,4.0,2.0,8.0,4.0,,,,,,76
52,마천시장마천동우방아파트앞,24295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,10.0,6.0,8.0,3.0,2.0,3.0,,17.0,17.0,9.0,9.0,4.0,12.0,13.0,8.0,,3.0,,,129
53,마천동금호어울림1차아파트,24294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,1.0,,2.0,1.0,10.0,2.0,1.0,1.0,,9.0,15.0,7.0,11.0,6.0,16.0,8.0,7.0,1.0,3.0,,,105
54,송파보훈회관.금호어울림2차,24292.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,,,3.0,10.0,3.0,8.0,2.0,8.0,9.0,14.0,2.0,15.0,5.0,,102
55,송파구립마천청소년센터,24289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,2.0,1.0,4.0,3.0,1.0,,,1.0,5.0,2.0,2.0,,,3.0,8.0,5.0,7.0,2.0,1.0,51
56,남한산성입구,24288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,1.0,,2.0,1.0,5.0,1.0,,,2.0,1.0,,2.0,,1.0,20
All,,,37.0,60.0,83.0,98.0,174.0,44.0,200.0,263.0,176.0,82.0,198.0,88.0,62.0,139.0,65.0,174.0,23.0,116.0,20.0,87.0,136.0,77.0,96.0,126.0,41.0,28.0,44.0,111.0,30.0,314.0,129.0,50.0,58.0,68.0,90.0,261.0,124.0,226.0,118.0,139.0,160.0,45.0,358.0,230.0,108.0,97.0,31.0,80.0,50.0,40.0,8.0,30.0,7.0,2.0,5701
