하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,All
32,청년회의소,6002.0,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,2.0,,11.0,,7.0,17.0,19.0,8.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
33,하나은행장안동지점,6154.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,4.0,2.0,3.0,,19.0,1.0,3.0,27.0,13.0,11.0,6.0,8.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
34,동아.위더스빌아파트,6152.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0,4.0,,1.0,2.0,,,1.0,2.0,5.0,,29.0,5.0,13.0,19.0,12.0,6.0,2.0,19.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
35,동답한신동아아파트,6151.0,,,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,2.0,,3.0,,36.0,2.0,13.0,15.0,10.0,7.0,4.0,13.0,16.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
36,풍안시장.동답초교,6149.0,,,,,1.0,,,1.0,1.0,,,,,,,3.0,,2.0,3.0,4.0,3.0,2.0,,24.0,2.0,1.0,8.0,5.0,6.0,4.0,9.0,12.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
37,촬영소사거리.세양청마루아파트앞,6231.0,,,,,1.0,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,3.0,,21.0,1.0,5.0,11.0,6.0,1.0,,15.0,4.0,3.0,6.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
38,답십리2동한양아파트앞,6228.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,5.0,5.0,1.0,,5.0,,2.0,4.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
39,한양아파트.청솔우성아파트후문,6226.0,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,6.0,1.0,2.0,3.0,4.0,5.0,3.0,5.0,1.0,,3.0,2.0,3.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
40,청솔우성아파트.답십리시장,6194.0,,,,,,,1.0,,,,,1.0,,3.0,2.0,,,,,1.0,1.0,1.0,1.0,15.0,3.0,3.0,8.0,9.0,3.0,2.0,5.0,2.0,1.0,9.0,6.0,8.0,16.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
41,전농우체국앞,6193.0,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,1.0,1.0,2.0,12.0,3.0,5.0,5.0,3.0,,2.0,2.0,,1.0,6.0,12.0,12.0,11.0,3.0,6.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
