하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,All
41,뉴타운아파트,4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,1,6,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,47
42,상왕십리역,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14,22,7,9,12,11,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,94
43,왕십리2동주민센터,4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,15,23,9,14,25,14,11,2,6,2,,,,,,,,,,,,,,,,,,,,,,,124
44,왕십리역,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,10,7,17,15,8,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,73
45,행당1동주민센터.성동소방서,4136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,,5,6,9,4,,5,5,5,,,,,,,,,,,,,,,,,,,,,,50
46,한양대정문,4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,1,3,9,2,9,,7,13,4,1,3,,,,,,,,,,,,,,,,,,,,62
47,성동교남단,4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,3,2,16,10,13,,10,21,26,10,6,,,,,,,,,,,,,,,,,,,,131
48,성동구민종합체육센터,4180,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,14,3,15,10,11,6,13,1,13,32,32,13,28,4,3,,,,,,,,,,,,,,,,,,201
49,서울숲역3번출구,4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,5,9,7,14,1,10,16,11,7,7,7,1,,,,,,,,,,,,,,,,,,106
50,뚝도아리수정수센터수도박물관,4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,6,,4,4,1,3,1,4,4,16,3,14,,11,22,,,,,,,,,,,,,,,,,102
51,천주교성수동성당앞,4174,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,10,7,2,4,8,5,4,1,12,17,31,4,17,3,9,46,1,,,,,,,,,,,,,,,,184
52,성수1가1동새마을금고,4171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,7,2,6,10,3,4,2,13,11,26,7,21,1,14,52,,2,1,,,,,,,,,,,,,,194
53,서울숲지구대앞,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,5,9,12,5,7,1,11,9,29,11,19,,20,60,4,4,5,,,,,,,,,,,,,,224
54,뚝도시장구길,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,9,2,1,12,6,5,2,11,13,22,10,26,3,21,49,,2,,,,,,,,,,,,,,,205
55,성수동진주타운,4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,1,3,7,,1,1,2,4,6,1,6,,12,14,1,2,3,1,3,,,,,,,,,,,,79
56,제민약국,4291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,3,,2,1,,1,2,9,1,3,2,7,6,,12,7,9,3,3,,,,,,,,,,,74
57,영동대교,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,2,2,1,,1,3,7,3,3,,8,8,5,12,14,17,6,1,1,,,,,,,,,,100
58,영동대교북단,5220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,3,1,4,,3,4,16,3,8,1,15,12,4,24,18,21,19,1,,,,,,,,,,,166
59,노룬산시장앞,5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,7,6,3,2,,,2,2,1,5,,10,8,1,1,14,2,1,4,1,2,4,,,,,,,,83
60,국민은행신자양지점,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,2,4,,,3,4,1,1,,2,8,3,5,6,10,8,6,5,1,,3,2,,,,,,,79
61,자양4동주민센터앞,5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,1,1,1,,3,,1,2,3,,3,,3,2,,4,15,24,14,15,2,4,11,3,4,,,,,,121
62,신양초등학교앞,5222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,7,1,1,1,,2,1,,,,,,,,1,,,,18
63,국민은행신자양지점,5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,3,,,13
64,노룬산시장앞,5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,16
65,영동대교,4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,1,,21
66,제민약국,4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,6,1,2,32
67,성수동진주타운,4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,4,2,,2,7,3,1,2,1,2,3,,1,2,,1,,,,,,,,12,4,3,11,70
All,,,20,30,1,4,19,15,2,35,216,143,158,191,71,127,258,309,194,207,96,188,249,114,101,69,52,130,74,45,124,97,89,45,39,298,323,91,147,192,111,128,14,120,171,249,79,171,25,151,286,22,71,89,84,54,29,5,6,18,5,4,3,69,23,5,13,6568
