하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,115,All
29,중곡초등학교,7186.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,,2.0,2.0,3.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
30,면곡시장앞,5129.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,4.0,1.0,3.0,3.0,6.0,17.0,7.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
31,중곡3동주민센터앞,5128.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,2.0,3.0,2.0,1.0,1.0,7.0,19.0,9.0,3.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
32,중곡역입구,5126.0,,,,,,,,,,,,,1.0,,1.0,,,,,5.0,3.0,7.0,,1.0,1.0,7.0,24.0,10.0,11.0,12.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
33,중마초등학교.중곡제일골목시장앞,5124.0,,,,,,,,,,,,,,,,,,,,,3.0,6.0,4.0,1.0,1.0,5.0,21.0,9.0,10.0,9.0,5.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
34,용마사거리,5111.0,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,8.0,2.0,1.0,,2.0,6.0,7.0,9.0,8.0,11.0,10.0,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
35,중곡2동주민센터앞,5112.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,3.0,,3.0,,1.0,7.0,5.0,6.0,11.0,13.0,8.0,13.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
36,군자역.용마초등학교,5004.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,4.0,4.0,2.0,,2.0,1.0,4.0,7.0,7.0,12.0,7.0,20.0,44.0,25.0,27.0,23.0,20.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220
37,중곡동입구삼거리,5008.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,2.0,,2.0,3.0,2.0,1.0,2.0,4.0,3.0,5.0,12.0,3.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
38,어린이대공원후문아차산역,5007.0,,,,,,,,,,,,,,1.0,,1.0,,,4.0,2.0,2.0,4.0,3.0,4.0,3.0,10.0,6.0,6.0,9.0,5.0,7.0,15.0,11.0,28.0,19.0,7.0,19.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
