하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,All
34,펜트힐루논현.임피리얼팰리스호텔,23141,,,3,3,1,3,3,2,2,2,,,1,2,4,,2,1,1,2,,5,3,4,5,2,4,10,9,8,3,30,11,53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184
35,논현아이파크,23142,,,,,,,,2,,2,4,1,,2,,,1,5,1,,,7,4,14,8,3,10,13,9,8,3,16,3,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
36,시티프라디움더강남.라움아트센터,23271,,2,1,3,1,3,1,2,1,4,2,5,,2,,1,4,1,4,,3,3,5,13,1,2,4,9,16,13,5,15,12,87,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243
37,KT강남지사,23279,,1,,,1,2,3,2,,4,2,1,1,1,3,1,7,2,2,,1,4,,7,2,1,1,6,19,15,9,25,19,117,27,12,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315
38,아가방빌딩.하나은행,23280,,1,2,3,4,3,5,2,2,4,2,2,4,6,,1,7,2,2,,2,5,2,5,1,2,,8,9,27,10,31,11,49,24,21,15,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306
39,영동중앙교회,23289,,,,2,,,3,,1,,1,2,1,5,3,1,1,,2,2,1,1,2,5,2,,1,5,5,8,2,11,4,12,4,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
40,총지사,23302,,1,1,1,1,1,,1,,1,,,1,1,2,,1,1,,2,1,1,1,3,1,3,,3,4,11,1,13,8,17,8,1,3,1,6,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
41,예림당아트홀.신한은행전산센터,23510,,,,,,,,,1,,1,,,1,1,,,1,,1,,,,3,1,,1,3,1,,,2,2,5,,1,2,2,2,19,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
42,역삼동개나리아파트,23300,,,,,,,,1,1,,,,,,,,,,,,,1,,2,,,,1,1,,,,,1,1,,1,1,2,2,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
43,역삼e-편한세상아파트,23308,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,3,1,1,2,1,8,13,20,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
44,한티역,23309,,,,,,,,,,3,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,3,1,11,35,54,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
45,도곡렉슬아파트정문,23332,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,3,4,11,4,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
46,중대부고앞,23333,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,7,11,11,12,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
47,그랑프리백화점,23456,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,7,10,14,6,12,16,9,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
48,구룡중학교앞,23334,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,4,18,10,3,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
49,우성3차아파트,23515,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,1,8,2,2,1,6,17,11,2,47,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
50,현대1차아파트,23505,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,1,1,4,3,,3,6,25,7,2,59,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
51,개포래미안포레스트,23364,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,3,1,3,1,6,4,,,2,2,11,4,6,8,16,29,14,6,61,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206
52,우성6차아파트,23516,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,5,4,,,13,25,13,3,59,7,9,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
53,포이초교,23517,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,,4,1,,,,1,1,,2,,1,3,23,25,12,5,64,4,9,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
54,국악중고교,23518,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,1,,1,,3,,1,1,1,,18,27,10,4,40,4,9,4,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
55,풍양빌딩,23519,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,1,1,2,8,13,9,3,17,3,2,,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
56,국민은행그린공원,23524,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,2,1,1,1,12,12,7,1,21,3,2,1,,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
57,광수빌딩,23377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,5,1,1,5,2,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
58,개포지구대,23378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,1,2,1,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
59,구룡초등학교,23379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,4,7,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
60,현대1차.우성3차아파트,23341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,4,4,2,5,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
