하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,105,106,107,All
30,사가정시장,7249.0,,,,,1.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,,,,,,1.0,1.0,2.0,7.0,7.0,3.0,2.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
31,면목동금호어울림아파트,7203.0,,,,1.0,,,,,,,,,,,1.0,1.0,3.0,1.0,,,1.0,,2.0,1.0,2.0,5.0,5.0,6.0,6.0,29.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
32,면목동대원칸타빌아파트,7205.0,,,,,,,,,1.0,,,,2.0,,2.0,1.0,1.0,,1.0,,,1.0,,3.0,,3.0,,2.0,3.0,41.0,36.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
33,용마폭포공원,7207.0,,,,,,,,,,1.0,,,1.0,,,3.0,1.0,1.0,1.0,2.0,,,1.0,,5.0,3.0,2.0,9.0,3.0,20.0,21.0,10.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
34,용마산역,7209.0,,,,,,,,,,1.0,,,1.0,,,1.0,2.0,,,2.0,,1.0,2.0,,3.0,2.0,4.0,6.0,1.0,11.0,10.0,23.0,12.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
35,용마산하늘채아파트,7211.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,1.0,,,,,2.0,3.0,5.0,6.0,1.0,8.0,11.0,5.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
36,용암사입구,5131.0,,,,,1.0,,,,,,,,2.0,,,,2.0,,2.0,,,,,2.0,6.0,6.0,1.0,9.0,7.0,11.0,8.0,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
37,대원고교앞,5134.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,5.0,7.0,1.0,11.0,8.0,8.0,9.0,5.0,3.0,5.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
38,중곡동종점,5116.0,,,,,,,,,,,,1.0,,,,,1.0,,3.0,1.0,,,2.0,3.0,4.0,1.0,1.0,5.0,2.0,10.0,11.0,3.0,,1.0,14.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
39,중곡보건지소,5117.0,,,,,,,,,1.0,,,,,,1.0,,,,1.0,2.0,,,,5.0,4.0,9.0,5.0,4.0,3.0,13.0,9.0,4.0,1.0,1.0,13.0,1.0,11.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
40,중곡우체국앞,5119.0,,,,,,,,,,,,,,,,1.0,,,3.0,,,1.0,,1.0,4.0,,,,3.0,2.0,,3.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
41,중곡2동주민센터앞,5112.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,2.0,,,1.0,,,2.0,,,2.0,5.0,1.0,1.0,3.0,4.0,2.0,11.0,10.0,16.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
42,능동사거리.군자역,5253.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,2.0,4.0,,1.0,2.0,,4.0,4.0,4.0,,1.0,1.0,,11.0,2.0,7.0,1.0,5.0,12.0,25.0,40.0,44.0,25.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217
43,능동교회앞,5252.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,,2.0,,1.0,5.0,12.0,6.0,2.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
44,어린이대공원앞.세종대학교,5251.0,,,,,1.0,1.0,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,1.0,,,2.0,,5.0,,,,1.0,,7.0,6.0,11.0,3.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
45,어린이대공원역.화양천주교회,5227.0,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,1.0,,1.0,,,2.0,,7.0,3.0,1.0,,2.0,,9.0,9.0,26.0,6.0,3.0,7.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
46,한아름공원,5228.0,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,1.0,5.0,,,,,,3.0,1.0,1.0,5.0,2.0,2.0,5.0,13.0,11.0,9.0,2.0,8.0,7.0,2.0,7.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
47,건대병원입구,5263.0,,,,,1.0,,,,,,,,2.0,,,,2.0,,,,,,1.0,,,2.0,2.0,,1.0,,2.0,12.0,3.0,2.0,2.0,,3.0,10.0,14.0,28.0,7.0,9.0,17.0,13.0,17.0,18.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
48,건국대학교앞,5205.0,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,1.0,,1.0,2.0,2.0,2.0,1.0,,,,2.0,4.0,,,3.0,5.0,3.0,3.0,5.0,15.0,4.0,12.0,36.0,14.0,16.0,20.0,7.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
49,자양초등학교앞,5179.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,3.0,2.0,,,,,,,,1.0,4.0,,,,1.0,1.0,4.0,5.0,18.0,7.0,10.0,21.0,9.0,20.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
50,자양사거리,5177.0,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,2.0,4.0,,,1.0,,,2.0,2.0,,1.0,,2.0,,1.0,1.0,,4.0,10.0,7.0,8.0,17.0,2.0,12.0,27.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
51,구의역3번출구,5199.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,1.0,4.0,,,,2.0,1.0,2.0,4.0,1.0,1.0,10.0,14.0,12.0,7.0,12.0,6.0,25.0,48.0,16.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190
