하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,All
50,성동세무서앞,4212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,29.0,9.0,22.0,18.0,16.0,15.0,9.0,14.0,43.0,15.0,61.0,16.0,11.0,11.0,2.0,,,,,,,,,,,,,306
51,우리은행화양동지점,4293.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,20.0,26.0,6.0,12.0,15.0,4.0,8.0,8.0,8.0,32.0,9.0,66.0,11.0,5.0,8.0,3.0,,,,,,,,,,,,,245
52,서울화양동우체국,5259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,2.0,2.0,8.0,4.0,1.0,5.0,3.0,5.0,1.0,4.0,35.0,7.0,1.0,7.0,9.0,3.0,,,,,,,,,,,,106
53,광진광장,5226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,3.0,,4.0,4.0,,3.0,2.0,9.0,3.0,9.0,19.0,7.0,7.0,15.0,12.0,17.0,6.0,2.0,,,,,,,,,,133
54,어린이대공원역.화양천주교회,5227.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,4.0,3.0,2.0,4.0,4.0,,5.0,4.0,3.0,3.0,6.0,15.0,11.0,14.0,33.0,33.0,71.0,10.0,5.0,,,,,,,,,,233
55,한아름공원,5228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,4.0,4.0,,1.0,3.0,2.0,,1.0,4.0,1.0,7.0,10.0,6.0,15.0,8.0,10.0,6.0,1.0,,,,,,,,92
56,건대입구역사거리.건대병원,5229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,7.0,5.0,6.0,4.0,1.0,7.0,3.0,,1.0,2.0,2.0,1.0,1.0,10.0,8.0,28.0,22.0,26.0,16.0,3.0,,,,,,,,160
57,건대로데오거리입구,5218.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,5.0,1.0,,9.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,10.0,3.0,5.0,10.0,4.0,2.0,9.0,,,,,,87
58,대동아파트앞,5214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,5.0,1.0,,2.0,2.0,2.0,,,1.0,,1.0,3.0,7.0,2.0,2.0,1.0,2.0,1.0,7.0,12.0,1.0,,,,,57
59,신양초등학교앞,5201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,5.0,,1.0,1.0,,2.0,3.0,3.0,,1.0,2.0,3.0,9.0,7.0,,6.0,11.0,1.0,6.0,60.0,3.0,,,,,127
60,자양고교앞,5213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,1.0,1.0,1.0,3.0,1.0,5.0,2.0,2.0,4.0,1.0,,4.0,6.0,9.0,7.0,20.0,12.0,6.0,9.0,95.0,5.0,1.0,,,,200
61,자양우성아파트앞,5210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,2.0,,3.0,3.0,2.0,7.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,9.0,11.0,4.0,9.0,92.0,3.0,5.0,2.0,,,179
62,신자초등학교앞,5209.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,,6.0,6.0,4.0,8.0,3.0,15.0,8.0,15.0,14.0,5.0,10.0,123.0,,4.0,8.0,1.0,1.0,252
All,,,25.0,21.0,43.0,100.0,131.0,99.0,164.0,211.0,156.0,151.0,79.0,48.0,91.0,1.0,290.0,107.0,326.0,275.0,585.0,116.0,66.0,110.0,119.0,234.0,81.0,61.0,121.0,25.0,64.0,67.0,23.0,40.0,13.0,77.0,173.0,236.0,120.0,222.0,182.0,125.0,184.0,96.0,124.0,152.0,84.0,301.0,75.0,60.0,115.0,105.0,181.0,69.0,99.0,82.0,26.0,43.0,391.0,12.0,10.0,10.0,1.0,1.0,7399
