하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,All
43,하나은행장안동지점,6154.0,,,,,,,8.0,2.0,,,,,,,,,,,,,,,,,3.0,12.0,8.0,3.0,3.0,1.0,1.0,3.0,,7.0,10.0,7.0,4.0,11.0,11.0,5.0,63.0,28.0,1.0,,,,,,,,191
44,동아.위더스빌아파트,6152.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,1.0,11.0,7.0,3.0,4.0,1.0,,1.0,,6.0,14.0,4.0,14.0,11.0,2.0,7.0,138.0,59.0,4.0,1.0,,,,,,,293
45,동답한신동아아파트,6151.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,3.0,1.0,,1.0,3.0,1.0,3.0,121.0,27.0,2.0,7.0,1.0,,,,,,176
46,풍안시장.동답초교,6149.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,1.0,,75.0,25.0,6.0,3.0,3.0,,,,,,122
47,동대문구.성동구선거관리위원회,6232.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,48.0,35.0,11.0,21.0,12.0,4.0,,,,,137
48,장안동삼성쉐르빌아파트앞,6356.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,52.0,34.0,22.0,20.0,10.0,21.0,8.0,1.0,,,173
49,국민은행장안동지점,6236.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,44.0,26.0,20.0,17.0,11.0,18.0,15.0,9.0,18.0,,181
50,면곡시장,5687.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,1.0,,,,4.0,6.0,105.0,31.0,32.0,26.0,16.0,17.0,35.0,45.0,158.0,1.0,482
51,중곡초등학교,7185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,17.0,16.0,9.0,23.0,13.0,11.0,11.0,24.0,96.0,6.0,231
All,,,375.0,586.0,843.0,722.0,766.0,220.0,827.0,332.0,125.0,231.0,129.0,94.0,83.0,245.0,615.0,409.0,176.0,287.0,208.0,553.0,192.0,230.0,78.0,192.0,104.0,1934.0,303.0,226.0,433.0,187.0,142.0,361.0,118.0,666.0,352.0,382.0,323.0,668.0,769.0,254.0,701.0,285.0,107.0,118.0,66.0,71.0,69.0,79.0,272.0,7.0,17515
