하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,107,108,109,110,All
41,장안초등학교,5248,,,,,,,,,,,,2,,,2,,,,2,,3,,2,,1,1,6,2,15,19,7,9,6,6,3,8,16,9,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
42,화양사거리,5249,,,,,,,,,1,1,4,,4,,2,3,1,1,1,1,3,1,1,1,,,2,9,14,13,11,5,8,8,4,9,22,6,9,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
43,성동세무서,4213,1,,,,,1,,1,2,1,2,,1,,2,2,1,1,3,6,,3,,,1,3,2,5,12,10,14,7,4,5,4,3,28,5,5,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
44,제인병원,4211,,,,,,,1,,,,1,,,1,,4,,1,6,,3,,,,1,,,2,5,4,7,3,7,9,3,2,5,4,9,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
45,성수2가3동주민센터,4269,,,,,,1,,,,1,,,1,,,4,2,2,3,1,1,,,,,,2,3,4,4,4,4,1,1,,3,10,5,1,,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
46,리버하우스,4255,,1,,,,,,,,,,,1,,,2,2,4,2,,3,,,,,3,3,2,2,2,6,4,7,5,4,7,10,6,7,,4,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
47,상원,4188,,,,,,,,,,,1,1,,,,2,1,3,1,3,1,,,,1,2,1,6,8,2,6,2,1,6,1,4,6,6,16,14,6,19,43,10,11,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
48,한양대정문앞,4130,,,,,,,4,3,1,3,1,1,3,1,2,3,,3,7,4,1,2,1,1,4,5,6,5,14,7,5,10,4,11,6,2,6,16,48,31,16,62,99,19,14,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454
49,서울숲삼부아파트,4137,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,1,5,1,2,,,1,,1,,1,1,1,14,8,,7,33,4,4,7,11,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
50,왕십리역,4134,,,,,,,1,,,,,,,,,,,,1,1,1,,2,,3,,1,2,3,,,1,1,2,1,,3,8,13,6,7,21,50,7,8,8,9,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
51,코스모타워.서울신용보증재단성동지점,4110,,,,,,,,,,,,,,,,,,,,1,1,1,1,,2,2,2,2,1,1,1,2,1,4,2,2,4,4,9,4,5,10,19,5,4,5,3,19,10,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
52,상왕십리역,4102,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,2,2,,2,,1,5,,,1,3,14,12,3,15,23,5,3,5,4,8,13,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148
53,왕십리센트라스아파트,4103,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,3,1,1,,1,,3,1,,,1,9,7,5,9,18,6,3,3,3,5,9,13,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
54,성동고등학교,2183,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,7,,3,1,1,1,,5,,,,4,9,6,1,6,17,2,2,6,6,4,7,1,29,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131
55,신당역.중앙시장앞,2181,,,,,,,,,2,,,,,,,,,,2,,1,,,,,1,2,,4,3,,,,4,3,1,1,1,5,2,9,4,25,1,2,5,2,5,7,1,9,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
56,충무아트센터.스포츠센터.중부소방서,2177,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,,1,1,,,1,,1,,,,4,12,4,13,6,11,3,3,3,2,6,4,2,6,4,1,19,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
57,동대문역사문화공원,2174,,,,,,,,,,,,,,,,,1,,,1,1,,,,4,4,1,4,3,1,2,1,2,,,1,1,1,10,8,16,11,28,10,7,10,7,13,2,5,25,18,16,34,24,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302
58,동대문디자인플라자,2280,,,,,,,,,,,,1,,,,,,,1,,,,,,1,2,1,1,1,,,,1,1,1,,,5,3,3,3,1,5,2,,1,2,1,2,3,8,6,9,3,4,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
59,서울기동대.광희초등학교,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,1,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
60,신당역.중앙시장앞,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
61,성동고등학교,2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
62,신당파인힐하나유보라,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
63,뉴타운아파트,4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,11,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
64,상왕십리역,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,18,11,23,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
65,왕십리2동주민센터,4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,24,31,7,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
66,왕십리역,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,1,21,11,8,2,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
67,행당1동주민센터.성동소방서,4136,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,9,11,7,3,9,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
68,한양대정문,4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,4,2,6,2,2,19,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
69,상원,4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,1,14,7,6,1,6,16,9,7,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
70,리버하우스,4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,4,3,9,8,2,4,7,6,12,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
71,성수2가3동주민센터,4210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,3,2,11,5,5,4,9,10,16,5,27,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
72,성동세무서앞,4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,5,24,9,9,2,4,17,27,8,59,9,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199
73,우리은행화양동지점,4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,5,5,30,10,5,,8,17,31,10,75,15,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256
