하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,All
41,강동역,25012,4,,,,1,4,,5,,,3,3,4,7,10,16,1,12,4,5,25,17,25,9,12,7,7,36,18,12,7,12,13,11,20,23,6,42,24,41,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492
42,강동성심병원(동신중학교),25224,,,,,,,1,,1,,1,1,,1,2,6,2,6,1,1,3,,9,3,2,6,5,10,12,2,,10,10,12,18,28,6,35,17,30,89,49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381
43,천동초등학교.천호도서관,25223,1,,,,,,1,,,,,1,,3,1,5,3,3,2,1,2,3,4,2,6,3,2,14,4,7,1,7,8,10,14,16,8,19,5,17,84,78,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340
44,참잘함한방병원,25221,,,2,2,,1,,,,,,2,,1,1,,1,4,4,,7,5,4,2,3,4,3,7,8,7,2,11,8,9,2,17,8,16,6,25,100,51,14,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349
45,길동역1번출구,25240,,,,,,,1,3,,,,2,2,1,,1,2,2,,1,7,4,3,,3,2,5,15,6,3,1,5,2,10,5,9,6,14,9,22,88,49,15,21,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356
46,서울프라임한방병원,25242,,,,,1,,,1,,,,,2,,,,,2,,,5,,,2,2,,,,,1,,1,3,1,1,1,3,4,,5,14,1,1,10,15,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
47,길동사거리.강동세무서,25123,,,,,,,,,,,,,,,,1,,1,,,,,,2,1,,,,4,1,,,,,1,,,,,2,3,1,,13,22,36,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
48,강동역1번출구.동신중학교,25125,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,29,53,99,38,71,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
49,천호역5번출구.천호사거리,25127,,,,1,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,1,,,1,,11,21,52,122,89,76,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403
50,천호역1번출구.문구거리,25374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,22,29,25,37,18,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174
