하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,All
42,삼성래미안아파트앞,4160,,,,,,,,,1,,,,,,,,,1,1,1,,,,3,1,1,,2,,6,6,10,15,10,12,12,16,4,16,22,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
43,금남시장앞.백범학원터,4154,,,,,,1,,,,,,,1,,1,,,,,,1,1,,4,1,,2,6,2,11,18,17,23,22,8,22,27,8,10,26,12,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245
44,금옥초등학교앞,4158,,,,,,,,,,,,,,,,2,,,,,1,,1,,2,1,,,,5,7,7,15,6,4,6,7,1,6,4,3,4,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
45,옥수삼성아파트.래미안옥수리버젠,4162,,,,,,,,,,,,1,,,,,,,,,,,,3,1,1,,3,3,5,5,6,9,5,5,9,10,3,6,7,5,7,10,25,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
46,옥정중학교입구,4170,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,3,6,1,6,6,2,4,12,,7,8,2,2,5,22,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
47,한남시범아파트,3210,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,1,2,,,3,2,1,1,4,1,5,1,5,5,1,2,3,12,,10,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
48,한남동,3212,,,,,,,,,1,,,2,,,1,,,1,1,,1,1,,4,,1,2,1,2,1,12,6,17,15,10,21,16,12,8,15,6,11,8,45,12,44,36,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323
49,순천향병원입구,3319,,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,1,,1,1,1,2,3,3,2,2,4,2,4,4,3,8,6,28,5,15,13,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131
50,한남역.용산노인종합복지관,3285,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,3,,,3,2,2,3,6,2,7,8,8,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
51,한남동하이페리온,3324,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,1,,1,,5,1,1,1,1,1,2,3,,1,,7,1,4,5,3,10,10,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
52,보광신동아아파트삼성리버빌아파트,3276,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,5,3,2,1,2,2,6,3,2,16,7,7,7,25,12,16,6,4,13,15,13,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
53,동빙고동,3275,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,,5,2,2,,,1,1,2,4,3,,,2,5,,2,5,,12,11,19,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
54,서빙고동주민센터,3273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,1,,1,,,2,2,2,1,1,2,,5,7,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
55,서빙고역교차로,3267,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,2,,,,,2,,,1,,1,1,3,,2,1,6,10,5,3,1,7,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
56,서빙고역1번출구,3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,1,1,2,3,6,3,,4,10,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
57,서빙고신동아아파트,3225,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,2,,,,,2,,2,,3,3,1,1,1,3,5,,11,7,8,5,6,7,4,1,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
58,이촌동현대아파트,3223,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,1,1,,2,1,,,,4,,4,,,14,5,8,4,13,6,1,,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
59,중경고등학교.이촌동강촌아파트,3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,3,7,2,1,9,1,2,,2,17,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
60,신용산초등학교,3219,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,1,2,1,2,,3,12,5,9,5,8,1,5,,2,36,19,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
61,이촌동한가람아파트.이촌역,3217,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,4,,,,,,1,1,,2,3,5,9,8,4,,7,5,1,,,30,19,20,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148
62,이촌동두산위브트레지움.한강대우아파트,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,1,4,3,5,,1,2,,,,8,6,11,8,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
63,서부이촌동입구,3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,1,2,,2,,,,1,1,,1,1,2,11,5,8,,11,2,1,,2,6,9,20,35,56,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196
64,이촌2동대림아파트.새남터성지,3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,1,,,,,4,2,2,1,,,3,,2,2,8,12,22,44,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
65,이촌2동주민센터,3290,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,,,,1,,,,,5,1,2,,1,2,,1,3,1,4,3,10,17,6,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
66,성촌공원.포르쉐센터용산,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,1,1,,,1,,,,,,,1,1,4,3,1,1,1,2,,,1,2,5,4,3,9,1,9,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
67,이촌119안전센터.성촌공원,3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,2,1,2,,1,,,1,3,4,6,10,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
68,성촌공원.포르쉐센터용산,3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
69,이촌2동주민센터,3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
70,이촌2동대림아파트.새남터성지,3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
